analysis_type	roi_set	roi	condition	condition_label	variant	n_subjects	mean_ers	t	p	cohens_dz	q_bh_within_family
ers_one_sample_gt_zero	meta_spatial	meta_L_hippocampus	yy	YY	max_run_to_retrieval	26	0.14330576624318872	19.682828226015843	9.857372967378849e-17	3.8601202002749853	1.9714745934757697e-15
ers_one_sample_gt_zero	meta_spatial	meta_R_precuneus	yy	YY	max_run_to_retrieval	26	0.22753016561945702	12.3434741089324	3.913178247052637e-12	2.420754436422062	3.913178247052637e-11
ers_one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	yy	YY	max_run_to_retrieval	26	0.21983043832037164	11.879859834302398	8.909414082476062e-12	2.3298321966867332	5.939609388317374e-11
ers_one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	yy	YY	max_run_to_retrieval	26	0.25370195123809147	11.522905977861218	1.7052912357918362e-11	2.259827785938819	8.526456178959181e-11
ers_one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	yy	YY	max_run_to_retrieval	26	0.17089341131008848	11.066291313942603	3.9944591498793425e-11	2.1702782828036793	1.597783659951737e-10
ers_one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	yy	YY	max_run_to_retrieval	26	0.20813387112438256	10.793427240955607	6.719266577643464e-11	2.1167652353914073	2.1587587703388266e-10
ers_one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	yy	YY	max_run_to_retrieval	26	0.25160161087577537	10.696380349603572	8.101536486074544e-11	2.097732774132271	2.1587587703388266e-10
ers_one_sample_gt_zero	meta_spatial	meta_R_hippocampus	yy	YY	max_run_to_retrieval	26	0.15060743619501127	10.66342865529413	8.635035081355307e-11	2.0912704151980477	2.1587587703388266e-10
ers_one_sample_gt_zero	meta_spatial	meta_L_precuneus	yy	YY	max_run_to_retrieval	26	0.22969821834801546	10.133371720093068	2.452441749431475e-10	1.9873176976632245	5.449870554292167e-10
ers_one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	kj	KJ	max_run_to_retrieval	26	0.24241380943440294	8.37045317202283	1.019378026785062e-08	1.6415809254522704	2.038756053570124e-08
ers_one_sample_gt_zero	meta_spatial	meta_L_hippocampus	kj	KJ	max_run_to_retrieval	26	0.13682844055941212	7.926348378321147	2.7801746289134516e-08	1.554484809715156	5.054862961660821e-08
ers_one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	kj	KJ	max_run_to_retrieval	26	0.2187685137108558	7.871094035883047	3.155585995264015e-08	1.5436485416265937	5.259309992106692e-08
ers_one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	kj	KJ	max_run_to_retrieval	26	0.19930366098366756	7.759370942121822	4.0816883750790834e-08	1.521737840272462	6.279520577044743e-08
ers_one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	yy	YY	max_run_to_retrieval	26	0.22495990911201885	7.633561903780585	5.4644201951685487e-08	1.4970646579075269	7.806314564526499e-08
ers_one_sample_gt_zero	meta_spatial	meta_L_precuneus	kj	KJ	max_run_to_retrieval	26	0.2086835581295809	7.068177030481314	2.079435636948675e-07	1.3861835616904818	2.7725808492649006e-07
ers_one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	kj	KJ	max_run_to_retrieval	26	0.19998708795399606	6.806849282887531	3.9094934962188096e-07	1.334932973828022	4.661513473500771e-07
ers_one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	kj	KJ	max_run_to_retrieval	26	0.23244827088708744	6.801333914030533	3.962286452475655e-07	1.3338513210039262	4.661513473500771e-07
ers_one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	kj	KJ	max_run_to_retrieval	26	0.1718746010761844	6.320506728910141	1.2932874643722873e-06	1.2395533517887427	1.4369860715247637e-06
ers_one_sample_gt_zero	meta_spatial	meta_R_hippocampus	kj	KJ	max_run_to_retrieval	26	0.1359159194788753	5.8720593478481975	3.98590317659274e-06	1.1516055846020339	4.195687554308147e-06
ers_one_sample_gt_zero	meta_spatial	meta_R_precuneus	kj	KJ	max_run_to_retrieval	26	0.20959636694018818	5.820732171848104	4.539477861376313e-06	1.141539497217338	4.539477861376313e-06
ers_one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	yy	YY	run3_to_retrieval	26	0.09706265148030788	3.5687236483827434	0.001485429993855792	0.6998842892970633	0.013547714377596881
ers_one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	kj	KJ	run3_to_retrieval	26	0.06506164503223763	3.542460722478298	0.0015869270860195388	0.6947337057712629	0.013547714377596881
ers_one_sample_gt_zero	meta_spatial	meta_R_precuneus	yy	YY	run3_to_retrieval	26	0.0688180472736196	3.443805929629694	0.0020321571566395322	0.6753859090849366	0.013547714377596881
ers_one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	yy	YY	run4_to_retrieval	26	0.07480997871117968	3.6646988809205667	0.0011656814970898556	0.7187065809713696	0.016879266354991183
ers_one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	yy	YY	run4_to_retrieval	26	0.06945633003576081	3.4610860314853613	0.0019462384777904614	0.6787748158756642	0.016879266354991183
ers_one_sample_gt_zero	meta_spatial	meta_R_precuneus	yy	YY	run4_to_retrieval	26	0.07428948398994357	3.355526000412497	0.0025318899532486773	0.6580727905565875	0.016879266354991183
ers_one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	yy	YY	run4_to_retrieval	26	0.060257182734370314	3.159410433524725	0.004103853859953654	0.6196113635381235	0.02051926929976827
ers_one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	yy	YY	run3_to_retrieval	26	0.07390202664470068	3.1488739792391462	0.004210743102722784	0.6175449948455757	0.02105371551361392
ers_one_sample_gt_zero	meta_spatial	meta_L_precuneus	kj	KJ	run4_to_retrieval	26	0.09675339691757762	2.908608972075356	0.007512479349641679	0.570425150231665	0.030049917398566717
ers_one_sample_gt_zero	meta_spatial	meta_L_precuneus	yy	YY	run4_to_retrieval	26	0.0625608147633564	2.7067446914171143	0.012068255699152911	0.5308363076865211	0.03309573679557904
ers_one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	kj	KJ	run4_to_retrieval	26	0.10623624218818149	2.653705711661693	0.013639986149044978	0.5204345079652155	0.03309573679557904
ers_one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	yy	YY	run4_to_retrieval	26	0.07789516021462012	2.651504246606661	0.013709197551757157	0.5200027651469808	0.03309573679557904
ers_one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	yy	YY	run4_to_retrieval	26	0.07290217107868337	2.6153746087526817	0.014893081558010569	0.5129171602071162	0.03309573679557904
ers_one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	yy	YY	run3_to_retrieval	26	0.04632751076226765	2.727816646983339	0.011492379892772747	0.5349688581719726	0.04596951957109099
ers_one_sample_gt_zero	meta_spatial	meta_L_precuneus	yy	YY	run3_to_retrieval	26	0.06636569675865137	2.53792358858992	0.017759654604684153	0.4977277654702858	0.05919884868228051
ers_one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	yy	YY	run3_to_retrieval	26	0.07865068250707698	2.432744939214104	0.02247679669011507	0.47710053525564644	0.06421941911461448
ers_one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	yy	YY	run3_to_retrieval	26	0.06582151737324261	2.2918165096309684	0.030611007768685895	0.4494621963147082	0.07652751942171473
ers_one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	kj	KJ	run4_to_retrieval	26	0.07078046698929441	2.1709093348056796	0.039636853791407294	0.4257503484774959	0.07927370758281459
ers_one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	yy	YY	run4_to_retrieval	26	0.03447136769460315	2.0019421641535042	0.05625356025422173	0.3926131600039573	0.09772322435453802
ers_one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	kj	KJ	run4_to_retrieval	26	0.04874373629324706	1.9814991988051716	0.058633934612722816	0.3886039646490784	0.09772322435453802
ers_one_sample_gt_zero	meta_spatial	meta_L_hippocampus	yy	YY	run3_to_retrieval	26	0.023807166636292263	2.117374008423799	0.04435016232436089	0.4152512071741202	0.09855591627635754
ers_one_sample_gt_zero	meta_spatial	meta_R_precuneus	kj	KJ	run4_to_retrieval	26	0.06434860015759242	1.7956912940737302	0.08464147555285025	0.35216403649502426	0.1302176546966927
ers_one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	kj	KJ	run3_to_retrieval	26	0.05907189618892012	1.8723628371859427	0.07289871533656815	0.367200563205272	0.1352742633436415
ers_one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	kj	KJ	run3_to_retrieval	26	0.05585545247248513	1.8619837206915952	0.07440084483900283	0.3651650509922516	0.1352742633436415
ers_one_sample_gt_zero	meta_spatial	meta_L_precuneus	kj	KJ	run3_to_retrieval	26	0.056157466624786885	1.709821174499582	0.09968434720438336	0.3353235205202885	0.16614057867397228
ers_one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	kj	KJ	run4_to_retrieval	26	0.046946584598267796	1.505439524264906	0.1447423423374006	0.29524098118309977	0.1991725419947025
ers_one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	kj	KJ	run4_to_retrieval	26	0.051101431763574	1.4875334502324085	0.14937940649602688	0.29172931114834816	0.1991725419947025
ers_one_sample_gt_zero	meta_spatial	meta_L_hippocampus	kj	KJ	run3_to_retrieval	26	0.02450695452497193	1.327294460115345	0.19640590006567324	0.26030385970814407	0.3004363805585074
ers_one_sample_gt_zero	meta_spatial	meta_R_precuneus	kj	KJ	run3_to_retrieval	26	0.043869228816422884	1.285771223337213	0.21030546639095518	0.25216048299278904	0.3004363805585074
ers_yy_minus_kj	meta_spatial	meta_R_RSC_PCC	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.06572860492179246	2.2012416081415136	0.03717106012115147	0.43169899669407474	0.37171060121151467
ers_one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	kj	KJ	run3_to_retrieval	26	0.0313340465585154	0.9703507575660166	0.341166821743495	0.1903014403022562	0.4548890956579933
ers_yy_minus_kj	meta_spatial	meta_L_RSC_PCC	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.05503293060668806	1.7350487910057275	0.09504600076196314	0.3402710631682221	0.47523000380981567
ers_one_sample_gt_zero	meta_spatial	meta_R_hippocampus	kj	KJ	run4_to_retrieval	26	0.019632284065739993	0.7318742799649002	0.47105097013290764	0.14353235519375748	0.5888137126661346
ers_one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	yy	YY	run3_to_retrieval	26	0.012667324680962403	0.657432942472333	0.5169103722364822	0.12893320779019804	0.6461379652956027
ers_one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	kj	KJ	run3_to_retrieval	26	0.015575366728232133	0.4910864459933674	0.6276487948052366	0.09630997580696576	0.7384103468296901
ers_yy_minus_kj	meta_spatial	meta_R_RSC_PCC	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.03493343752723567	1.1747212535937062	0.2511745182697246	0.23038179211948023	0.772795617790633
ers_yy_minus_kj	meta_spatial	meta_R_PPC_SPL	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	-0.02258337111403132	-1.1067340383616675	0.27894493283752453	-0.21704840222936497	0.772795617790633
ers_yy_minus_kj	meta_spatial	meta_L_PPA_PHG	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.02497282115802278	0.9735469451451474	0.339607910054752	0.190928264257452	0.772795617790633
ers_yy_minus_kj	meta_spatial	meta_R_hippocampus	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.014691516716135992	0.6871924116025541	0.4982873790908825	0.13476951985978106	0.772795617790633
ers_yy_minus_kj	meta_spatial	meta_L_RSC_PCC	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.019153339988687946	0.6710666051573725	0.5083314189318193	0.13160698902376564	0.772795617790633
ers_yy_minus_kj	meta_spatial	meta_L_precuneus	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.02101466021843459	0.6509017060660979	0.5210481693556326	0.1276523269485334	0.772795617790633
ers_yy_minus_kj	meta_spatial	meta_R_precuneus	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.017933798679268847	0.6198633358114392	0.5409569324534431	0.12156520173320175	0.772795617790633
ers_yy_minus_kj	meta_spatial	meta_R_PPA_PHG	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.008830210140715	0.40702157866407057	0.6874560647488563	0.07982349892543987	0.7808853574780608
ers_yy_minus_kj	meta_spatial	meta_L_hippocampus	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.006477325683776578	0.38595249595896547	0.7027968217302547	0.0756915118544079	0.7808853574780608
ers_one_sample_gt_zero	meta_spatial	meta_L_hippocampus	yy	YY	run4_to_retrieval	26	0.0044588270362305015	0.39660973442776765	0.6950205509353441	0.07778156827415537	0.8176712363945224
ers_one_sample_gt_zero	meta_spatial	meta_L_hippocampus	kj	KJ	run4_to_retrieval	26	0.006222644810319666	0.29184431894995244	0.7728137365306942	0.05723537989450016	0.8195119916456706
