subject	roi_set	roi	run	ok	fail_reason	n_yy_trials	n_kj_trials
sub-17	meta_metaphor	meta_L_AG	3	True		35	35
sub-17	meta_metaphor	meta_L_AG	4	True		35	35
sub-17	meta_metaphor	meta_L_IFG	3	True		35	35
sub-17	meta_metaphor	meta_L_IFG	4	True		35	35
sub-17	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-17	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-17	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-17	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-17	meta_metaphor	meta_R_AG	3	True		35	35
sub-17	meta_metaphor	meta_R_AG	4	True		35	35
sub-17	meta_metaphor	meta_R_IFG	3	True		35	35
sub-17	meta_metaphor	meta_R_IFG	4	True		35	35
sub-17	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-17	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-17	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-17	meta_metaphor	meta_R_temporal_pole	4	True		35	35
sub-18	meta_metaphor	meta_L_AG	3	True		35	35
sub-18	meta_metaphor	meta_L_AG	4	True		35	35
sub-18	meta_metaphor	meta_L_IFG	3	True		35	35
sub-18	meta_metaphor	meta_L_IFG	4	True		35	35
sub-18	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-18	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-18	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-18	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-18	meta_metaphor	meta_R_AG	3	True		35	35
sub-18	meta_metaphor	meta_R_AG	4	True		35	35
sub-18	meta_metaphor	meta_R_IFG	3	True		35	35
sub-18	meta_metaphor	meta_R_IFG	4	True		35	35
sub-18	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-18	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-18	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-18	meta_metaphor	meta_R_temporal_pole	4	True		35	35
sub-19	meta_metaphor	meta_L_AG	3	True		35	35
sub-19	meta_metaphor	meta_L_AG	4	True		35	35
sub-19	meta_metaphor	meta_L_IFG	3	True		35	35
sub-19	meta_metaphor	meta_L_IFG	4	True		35	35
sub-19	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-19	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-19	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-19	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-19	meta_metaphor	meta_R_AG	3	True		35	35
sub-19	meta_metaphor	meta_R_AG	4	True		35	35
sub-19	meta_metaphor	meta_R_IFG	3	True		35	35
sub-19	meta_metaphor	meta_R_IFG	4	True		35	35
sub-19	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-19	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-19	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-19	meta_metaphor	meta_R_temporal_pole	4	True		35	35
sub-20	meta_metaphor	meta_L_AG	3	True		35	35
sub-20	meta_metaphor	meta_L_AG	4	True		35	35
sub-20	meta_metaphor	meta_L_IFG	3	True		35	35
sub-20	meta_metaphor	meta_L_IFG	4	True		35	35
sub-20	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-20	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-20	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-20	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-20	meta_metaphor	meta_R_AG	3	True		35	35
sub-20	meta_metaphor	meta_R_AG	4	True		35	35
sub-20	meta_metaphor	meta_R_IFG	3	True		35	35
sub-20	meta_metaphor	meta_R_IFG	4	True		35	35
sub-20	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-20	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-20	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-20	meta_metaphor	meta_R_temporal_pole	4	True		35	35
sub-21	meta_metaphor	meta_L_AG	3	True		35	35
sub-21	meta_metaphor	meta_L_AG	4	True		35	35
sub-21	meta_metaphor	meta_L_IFG	3	True		35	35
sub-21	meta_metaphor	meta_L_IFG	4	True		35	35
sub-21	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-21	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-21	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-21	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-21	meta_metaphor	meta_R_AG	3	True		35	35
sub-21	meta_metaphor	meta_R_AG	4	True		35	35
sub-21	meta_metaphor	meta_R_IFG	3	True		35	35
sub-21	meta_metaphor	meta_R_IFG	4	True		35	35
sub-21	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-21	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-21	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-21	meta_metaphor	meta_R_temporal_pole	4	True		35	35
sub-22	meta_metaphor	meta_L_AG	3	True		35	35
sub-22	meta_metaphor	meta_L_AG	4	True		35	35
sub-22	meta_metaphor	meta_L_IFG	3	True		35	35
sub-22	meta_metaphor	meta_L_IFG	4	True		35	35
sub-22	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-22	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-22	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-22	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-22	meta_metaphor	meta_R_AG	3	True		35	35
sub-22	meta_metaphor	meta_R_AG	4	True		35	35
sub-22	meta_metaphor	meta_R_IFG	3	True		35	35
sub-22	meta_metaphor	meta_R_IFG	4	True		35	35
sub-22	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-22	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-22	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-22	meta_metaphor	meta_R_temporal_pole	4	True		35	35
sub-23	meta_metaphor	meta_L_AG	3	True		35	35
sub-23	meta_metaphor	meta_L_AG	4	True		35	35
sub-23	meta_metaphor	meta_L_IFG	3	True		35	35
sub-23	meta_metaphor	meta_L_IFG	4	True		35	35
sub-23	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-23	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-23	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-23	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-23	meta_metaphor	meta_R_AG	3	True		35	35
sub-23	meta_metaphor	meta_R_AG	4	True		35	35
sub-23	meta_metaphor	meta_R_IFG	3	True		35	35
sub-23	meta_metaphor	meta_R_IFG	4	True		35	35
sub-23	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-23	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-23	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-23	meta_metaphor	meta_R_temporal_pole	4	True		35	35
sub-24	meta_metaphor	meta_L_AG	3	True		35	35
sub-24	meta_metaphor	meta_L_AG	4	True		35	35
sub-24	meta_metaphor	meta_L_IFG	3	True		35	35
sub-24	meta_metaphor	meta_L_IFG	4	True		35	35
sub-24	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-24	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-24	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-24	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-24	meta_metaphor	meta_R_AG	3	True		35	35
sub-24	meta_metaphor	meta_R_AG	4	True		35	35
sub-24	meta_metaphor	meta_R_IFG	3	True		35	35
sub-24	meta_metaphor	meta_R_IFG	4	True		35	35
sub-24	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-24	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-24	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-24	meta_metaphor	meta_R_temporal_pole	4	True		35	35
sub-25	meta_metaphor	meta_L_AG	3	True		35	35
sub-25	meta_metaphor	meta_L_AG	4	True		35	35
sub-25	meta_metaphor	meta_L_IFG	3	True		35	35
sub-25	meta_metaphor	meta_L_IFG	4	True		35	35
sub-25	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-25	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-25	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-25	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-25	meta_metaphor	meta_R_AG	3	True		35	35
sub-25	meta_metaphor	meta_R_AG	4	True		35	35
sub-25	meta_metaphor	meta_R_IFG	3	True		35	35
sub-25	meta_metaphor	meta_R_IFG	4	True		35	35
sub-25	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-25	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-25	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-25	meta_metaphor	meta_R_temporal_pole	4	True		35	35
sub-26	meta_metaphor	meta_L_AG	3	True		35	35
sub-26	meta_metaphor	meta_L_AG	4	True		35	35
sub-26	meta_metaphor	meta_L_IFG	3	True		35	35
sub-26	meta_metaphor	meta_L_IFG	4	True		35	35
sub-26	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-26	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-26	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-26	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-26	meta_metaphor	meta_R_AG	3	True		35	35
sub-26	meta_metaphor	meta_R_AG	4	True		35	35
sub-26	meta_metaphor	meta_R_IFG	3	True		35	35
sub-26	meta_metaphor	meta_R_IFG	4	True		35	35
sub-26	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-26	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-26	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-26	meta_metaphor	meta_R_temporal_pole	4	True		35	35
sub-27	meta_metaphor	meta_L_AG	3	True		35	35
sub-27	meta_metaphor	meta_L_AG	4	True		35	35
sub-27	meta_metaphor	meta_L_IFG	3	True		35	35
sub-27	meta_metaphor	meta_L_IFG	4	True		35	35
sub-27	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-27	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
