analysis_type	roi_set	roi	phase	metric	n_subjects	mean_effect	t	p	cohens_dz	q_bh_within_roi_set
one_sample_gt_zero	meta_metaphor	meta_L_AG	run3	between_minus_within	28	0.015362334138316534	3.973494766645172	0.00047469497595166573	0.7509199277399824	0.007595119615226652
one_sample_gt_zero	meta_metaphor	meta_L_IFG	run3	between_minus_within	28	0.008096688272497488	2.916268717770055	0.00704759108181563	0.5511229845326268	0.05638072865452504
one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	run3	between_minus_within	28	0.00647915846645622	2.5889799069542385	0.015319723564893023	0.48927121308171845	0.06127889425957209
one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	run3	between_minus_within	28	0.0036227569479231297	1.2722367333755065	0.21413728307870808	0.24043014323662698	0.34261965292593294
one_sample_gt_zero	meta_metaphor	meta_R_AG	run3	between_minus_within	28	0.00318946144646168	1.0932936830445028	0.2839236819729767	0.20661308537811626	0.4129799010516024
one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	run3	between_minus_within	28	0.0019519255461722357	0.8721029576852753	0.39084172507630066	0.16481196740565174	0.5084348827998162
one_sample_gt_zero	meta_metaphor	meta_R_IFG	run3	between_minus_within	28	0.0007683362396712753	0.31457380129476126	0.7555033447802102	0.059448860514441884	0.8058702344322242
one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	run3	between_minus_within	28	-0.00014764833014157503	-0.05852756423618588	0.9537594354472541	-0.011060669986521847	0.9537594354472541
one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	run4	between_minus_within	28	0.010617308512419559	2.613836612009634	0.014461601120757808	0.4939686887952226	0.06127889425957209
one_sample_gt_zero	meta_metaphor	meta_L_IFG	run4	between_minus_within	28	0.005149841998911041	2.4189910084662714	0.022576572376527458	0.4571463308645067	0.07224503160488786
one_sample_gt_zero	meta_metaphor	meta_L_AG	run4	between_minus_within	28	0.009173096400938007	2.2066760669543224	0.036025615556515796	0.4170225783742323	0.09606830815070878
one_sample_gt_zero	meta_metaphor	meta_R_AG	run4	between_minus_within	28	0.010939099690926697	1.8872220384278677	0.06992514141660511	0.3566514416028943	0.15982889466652597
one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	run4	between_minus_within	28	0.0069525528313888595	1.604336004455094	0.1202750387494958	0.3031910062267994	0.23078761020141522
one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	run4	between_minus_within	28	0.003758169647808856	1.56249346585616	0.12981803073829606	0.2952835097013422	0.23078761020141522
one_sample_gt_zero	meta_metaphor	meta_R_IFG	run4	between_minus_within	28	0.0027558909421014632	0.8312863636691854	0.4131033422748507	0.15709835618199022	0.5084348827998162
one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	run4	between_minus_within	28	-0.0013949515034968132	-0.7145337020599182	0.48102985284219324	-0.1350341770732046	0.5497484032482208
