_source_roi_tag	roi_set	roi	condition	variant	subject	mean_remembered	mean_forgotten	delta	n_subjects	mean_delta	std_delta	t	p	q_bh
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-01	0.1097988140103869	0.17361502251213778	-0.06381620850175089	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-02	0.42211267526453017	0.37172607047398076	0.050386604790549405	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-03	0.22015409230880514	0.2198740710974574	0.0002800212113477363	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-04	-0.05602769557019562	-0.027598603892757794	-0.028429091677437828	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-05	0.07503125711805654	-0.07340447699040932	0.14843573410846586	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-06	0.19648452074699754	0.0697224119926233	0.12676210875437424	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-07	0.32009062065619426	0.31281796462727895	0.007272656028915303	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-08	0.05424237306072974	0.25797194411977087	-0.20372957105904113	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-09	0.15990636245985188	0.24916172767936048	-0.08925536521950861	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-10	0.30922256529651815	0.12156407242097039	0.18765849287554776	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-11	0.04331030849735507			25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-13	-0.018082495648713764	0.053532853985985236	-0.071615349634699	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-14	-0.009428471050418802	0.0549600374586105	-0.0643885085090293	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-15	-0.08223841644193158	0.22905161659455026	-0.31129003303648184	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-16	0.08085711645724734	-0.010814489460041918	0.09167160591728926	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
meta_metaphor	meta_metaphor	meta_L_AG	yy	run3_to_retrieval	sub-17	0.0034167246950975983	-0.17894350589766353	0.18236023059276113	25	0.018874315489075703	0.12601118922667245	0.7489142672530473	0.4611863923148226	0.8514496597944902
