analysis_type	roi_set	roi	n_subjects	mean_yy	mean_kj	mean_diff	t	p	cohens_dz	q_bh_within_roi_set
yy_minus_kj_paired_t	meta_spatial	meta_R_RSC_PCC	28	0.08933988749828876	0.05621472198186063	0.033125165516428134	2.204226156561945	0.0362161423591018	0.4165595888290449	0.362161423591018
yy_minus_kj_paired_t	meta_spatial	meta_R_hippocampus	28	-6.249267773675095e-06	-0.013600359118327939	0.013594109850554264	1.2269906820805467	0.23041805020425896	0.231879443269903	0.9639287734518266
yy_minus_kj_paired_t	meta_spatial	meta_R_PPA_PHG	28	0.067172784651105	0.08037294783341964	-0.013200163182314636	-0.9606994621679624	0.3452283942049138	-0.18155513296928097	0.9639287734518266
yy_minus_kj_paired_t	meta_spatial	meta_R_PPC_SPL	28	0.03528551897388145	0.022243890314206698	0.013041628659674752	0.8719098089496771	0.3909452262545101	0.16477546572562035	0.9639287734518266
yy_minus_kj_paired_t	meta_spatial	meta_L_RSC_PCC	28	0.06889272807646515	0.05988305071440229	0.009009677362062866	0.6089892494516448	0.5476218747778252	0.11508815036863787	0.9639287734518266
yy_minus_kj_paired_t	meta_spatial	meta_L_PPA_PHG	28	0.08906561459762767	0.09405897793494256	-0.004993363337314885	-0.3763975635481226	0.709563058464187	-0.07113245337421163	0.9639287734518266
yy_minus_kj_paired_t	meta_spatial	meta_L_precuneus	28	0.058939878900636185	0.06209147395070898	-0.0031515950500727932	-0.189408814123257	0.8511891116133175	-0.03579490130669976	0.9639287734518266
yy_minus_kj_paired_t	meta_spatial	meta_L_hippocampus	28	0.017609106582161596	0.016225889912666425	0.0013832166694951707	0.16310811691473764	0.8716480228816492	0.03082453672660311	0.9639287734518266
yy_minus_kj_paired_t	meta_spatial	meta_R_precuneus	28	0.05731319373226749	0.055961481758726006	0.001351711973541482	0.08971612018573465	0.9291750257116507	0.016954753043216843	0.9639287734518266
yy_minus_kj_paired_t	meta_spatial	meta_L_PPC_SPL	28	0.05204437680736475	0.052627370536994254	-0.0005829937296295065	-0.04564545543412145	0.9639287734518267	-0.00862618025421194	0.9639287734518266
