analysis_type	roi_set	roi	condition	condition_label	n_subjects	mean_effect	t	p	q_bh_within_roi_set
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	kj	KJ	28	0.09405897793494256	4.046471596010549	0.0003913304774084719	0.003913304774084719
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	kj	KJ	28	0.05621472198186063	3.456536574216146	0.0018262950468787259	0.00913147523439363
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	kj	KJ	28	0.08037294783341964	3.244965950389262	0.003125925660026371	0.009876938444424107
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	kj	KJ	28	0.05988305071440229	3.151473463885823	0.003950775377769643	0.009876938444424107
one_sample_gt_zero	meta_spatial	meta_L_precuneus	kj	KJ	28	0.06209147395070898	2.749606976539182	0.010513497952205844	0.021026995904411688
one_sample_gt_zero	meta_spatial	meta_R_precuneus	kj	KJ	28	0.055961481758726006	2.3295113354414143	0.027557385870187242	0.04592897645031207
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	kj	KJ	28	0.052627370536994254	1.9489849500283274	0.061757380259015233	0.08822482894145034
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	kj	KJ	28	0.022243890314206698	1.7495556167770259	0.09155487294255577	0.1144435911781947
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	kj	KJ	28	0.016225889912666425	1.3622640497134626	0.18437170198589958	0.20485744665099953
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	kj	KJ	28	-0.013600359118327939	-1.14296745679659	0.2630860065061504	0.2630860065061504
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	yy	YY	28	0.08933988749828876	5.910641724868829	2.6782357859323187e-06	2.6782357859323187e-05
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	yy	YY	28	0.08906561459762767	3.6510852102661713	0.0011053514341828202	0.004822857235442554
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	yy	YY	28	0.06889272807646515	3.547104013092715	0.0014468571706327663	0.004822857235442554
one_sample_gt_zero	meta_spatial	meta_L_precuneus	yy	YY	28	0.058939878900636185	3.0919956185945123	0.004580127781814257	0.011450319454535642
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	yy	YY	28	0.067172784651105	2.826909994660392	0.008743091012184682	0.015755017033612196
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	yy	YY	28	0.03528551897388145	2.7942836836520106	0.009453010220167318	0.015755017033612196
one_sample_gt_zero	meta_spatial	meta_R_precuneus	yy	YY	28	0.05731319373226749	2.4062524146555955	0.023231309445866804	0.033187584922666866
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	yy	YY	28	0.05204437680736475	2.2805022238980186	0.030691716737633854	0.03836464592204232
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	yy	YY	28	0.017609106582161596	1.5737825286876248	0.12718406637311147	0.14131562930345717
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	yy	YY	28	-6.249267773675095e-06	-0.0004502507668459861	0.9996440621440474	0.9996440621440474
