subject	roi_set	roi	condition	condition_label	run	target_phase	reinstatement	n_trials
sub-02	meta_spatial	meta_R_PPC_SPL	yy	YY	3	retrieval	-0.00924664916427077	30
sub-02	meta_spatial	meta_R_PPC_SPL	yy	YY	4	retrieval	-0.01438046902997128	30
sub-02	meta_spatial	meta_R_PPC_SPL	kj	KJ	3	retrieval	0.0288886319699942	4
sub-02	meta_spatial	meta_R_PPC_SPL	kj	KJ	4	retrieval	0.05721112066303019	4
sub-02	meta_spatial	meta_R_RSC_PCC	yy	YY	3	retrieval	0.04505280256606739	30
sub-02	meta_spatial	meta_R_RSC_PCC	yy	YY	4	retrieval	0.03932647731611813	30
sub-02	meta_spatial	meta_R_RSC_PCC	kj	KJ	3	retrieval	0.03026969432231305	4
sub-02	meta_spatial	meta_R_RSC_PCC	kj	KJ	4	retrieval	0.06322385856888454	4
sub-02	meta_spatial	meta_R_hippocampus	yy	YY	3	retrieval	0.01653153178512348	30
sub-02	meta_spatial	meta_R_hippocampus	yy	YY	4	retrieval	-0.030045372670233016	30
sub-02	meta_spatial	meta_R_hippocampus	kj	KJ	3	retrieval	0.04500170667394743	4
sub-02	meta_spatial	meta_R_hippocampus	kj	KJ	4	retrieval	0.07114144789302473	4
sub-02	meta_spatial	meta_R_precuneus	yy	YY	3	retrieval	0.029083625277442484	30
sub-02	meta_spatial	meta_R_precuneus	yy	YY	4	retrieval	0.0037760962680868887	30
sub-02	meta_spatial	meta_R_precuneus	kj	KJ	3	retrieval	-0.1274733059986756	4
sub-02	meta_spatial	meta_R_precuneus	kj	KJ	4	retrieval	-0.006440072827322861	4
sub-03	meta_spatial	meta_L_PPA_PHG	yy	YY	3	retrieval	0.04816819499170128	30
sub-03	meta_spatial	meta_L_PPA_PHG	yy	YY	4	retrieval	0.005585101330302514	30
sub-03	meta_spatial	meta_L_PPA_PHG	kj	KJ	3	retrieval	-0.06683551289590148	4
sub-03	meta_spatial	meta_L_PPA_PHG	kj	KJ	4	retrieval	-0.16758192604777372	4
sub-03	meta_spatial	meta_L_PPC_SPL	yy	YY	3	retrieval	0.009892477233780396	30
sub-03	meta_spatial	meta_L_PPC_SPL	yy	YY	4	retrieval	-0.014397454390159098	30
sub-03	meta_spatial	meta_L_PPC_SPL	kj	KJ	3	retrieval	-0.0537677089256412	4
sub-03	meta_spatial	meta_L_PPC_SPL	kj	KJ	4	retrieval	0.017574833298320963	4
sub-03	meta_spatial	meta_L_RSC_PCC	yy	YY	3	retrieval	-0.00862974462558841	30
sub-03	meta_spatial	meta_L_RSC_PCC	yy	YY	4	retrieval	0.034470710830231406	30
sub-03	meta_spatial	meta_L_RSC_PCC	kj	KJ	3	retrieval	0.03339909702007886	4
sub-03	meta_spatial	meta_L_RSC_PCC	kj	KJ	4	retrieval	-0.09991904011890901	4
sub-03	meta_spatial	meta_L_hippocampus	yy	YY	3	retrieval	0.011057031446429694	30
sub-03	meta_spatial	meta_L_hippocampus	yy	YY	4	retrieval	0.009607203523583836	30
sub-03	meta_spatial	meta_L_hippocampus	kj	KJ	3	retrieval	-0.004335529039887364	4
sub-03	meta_spatial	meta_L_hippocampus	kj	KJ	4	retrieval	-0.010869951066142067	4
sub-03	meta_spatial	meta_L_precuneus	yy	YY	3	retrieval	0.0025875267466522367	30
sub-03	meta_spatial	meta_L_precuneus	yy	YY	4	retrieval	-0.02617861335354878	30
sub-03	meta_spatial	meta_L_precuneus	kj	KJ	3	retrieval	-0.04411531797330555	4
sub-03	meta_spatial	meta_L_precuneus	kj	KJ	4	retrieval	-0.00961677572051095	4
sub-03	meta_spatial	meta_R_PPA_PHG	yy	YY	3	retrieval	-0.018113189391793287	30
sub-03	meta_spatial	meta_R_PPA_PHG	yy	YY	4	retrieval	-0.020401019185621972	30
sub-03	meta_spatial	meta_R_PPA_PHG	kj	KJ	3	retrieval	0.10189778121825216	4
sub-03	meta_spatial	meta_R_PPA_PHG	kj	KJ	4	retrieval	0.09162415529439788	4
sub-03	meta_spatial	meta_R_PPC_SPL	yy	YY	3	retrieval	0.057395969149159044	30
sub-03	meta_spatial	meta_R_PPC_SPL	yy	YY	4	retrieval	0.006565023037355202	30
sub-03	meta_spatial	meta_R_PPC_SPL	kj	KJ	3	retrieval	0.044722263224460046	4
sub-03	meta_spatial	meta_R_PPC_SPL	kj	KJ	4	retrieval	0.032366268541796944	4
sub-03	meta_spatial	meta_R_RSC_PCC	yy	YY	3	retrieval	-0.00980055212647158	30
sub-03	meta_spatial	meta_R_RSC_PCC	yy	YY	4	retrieval	-0.0013754956314039567	30
