subject	roi_set	roi	phase	within_yy	within_kj	within	between	between_minus_within
sub-07	meta_metaphor	meta_L_IFG	pre	0.8582914364884707	0.8845862917593227	0.8714388641238967	0.8682243693195153	-0.003214494804381407
sub-07	meta_metaphor	meta_L_IFG	post	0.9224304263070464	0.9297882643672563	0.9261093453371514	0.9196592512040106	-0.0064500941331407935
sub-07	meta_metaphor	meta_L_IFG	retrieval	0.6928166285168502	0.7515918931115201	0.7222042608141852	0.7296197310901634	0.00741547027597822
sub-08	meta_metaphor	meta_L_IFG	pre	0.9394916660204699	0.9145388568685416	0.9270152614445057	0.9199357295919254	-0.0070795318525803674
sub-08	meta_metaphor	meta_L_IFG	post	0.8786965342519674	0.8338830538155901	0.8562897940337788	0.8560976645757249	-0.00019212945805391346
sub-08	meta_metaphor	meta_L_IFG	retrieval	0.9381197240860041	0.9128959249250443	0.9255078245055242	0.9290321873713735	0.0035243628658493398
sub-09	meta_metaphor	meta_L_IFG	pre	0.917317033273783	0.9134526673669836	0.9153848503203833	0.9123267518399801	-0.0030580984804031708
sub-09	meta_metaphor	meta_L_IFG	post	0.9414234762808318	0.9126619564610114	0.9270427163709216	0.921974389539102	-0.0050683268318195696
sub-09	meta_metaphor	meta_L_IFG	retrieval	0.8285997930689158	0.7919445172697547	0.8102721551693353	0.8070778480774302	-0.0031943070919050465
sub-10	meta_metaphor	meta_L_IFG	pre	0.9197292700074453	0.8867818402943979	0.9032555551509216	0.90159548664768	-0.0016600685032416296
sub-10	meta_metaphor	meta_L_IFG	post	0.9001555004151399	0.812938479279174	0.8565469898471569	0.8577364348975715	0.001189445050414517
sub-10	meta_metaphor	meta_L_IFG	retrieval	0.8310066470973365	0.6865521676288298	0.7587794073630831	0.7676333339234789	0.008853926560395742
sub-11	meta_metaphor	meta_L_IFG	pre	0.8761318905372507	0.8629817849820753	0.869556837759663	0.8667430551347629	-0.002813782624900063
sub-11	meta_metaphor	meta_L_IFG	post	0.8964213769247975	0.8643592626215607	0.880390319773179	0.8745903064137639	-0.005800013359415157
sub-11	meta_metaphor	meta_L_IFG	retrieval	0.6678639796286517	0.7194866012152972	0.6936752904219745	0.6960693473142713	0.0023940568922967698
sub-12	meta_metaphor	meta_L_IFG	pre	0.8825644128748735	0.914866456866962	0.8987154348709178	0.9021175809973402	0.003402146126422423
sub-12	meta_metaphor	meta_L_IFG	post	0.9794942951995297	0.9702570529008793	0.9748756740502045	0.9728314718000466	-0.0020442022501578894
sub-13	meta_metaphor	meta_L_IFG	pre	0.9001797784444677	0.862919733010729	0.8815497557275984	0.8832917984732807	0.0017420427456822374
sub-13	meta_metaphor	meta_L_IFG	post	0.9639336161722335	0.9510896038293652	0.9575116100007994	0.9672031079775362	0.00969149797673674
