subject	roi_set	roi	condition	condition_label	mean_reliability	n_items
sub-04	meta_spatial	meta_R_RSC_PCC	kj	KJ	0.11250955759292196	35
sub-04	meta_spatial	meta_R_hippocampus	yy	YY	-0.009578768329700279	35
sub-04	meta_spatial	meta_R_hippocampus	kj	KJ	0.05078441516306384	35
sub-04	meta_spatial	meta_R_precuneus	yy	YY	0.03489869225719133	35
sub-04	meta_spatial	meta_R_precuneus	kj	KJ	0.11817206390927315	35
sub-05	meta_spatial	meta_L_PPA_PHG	yy	YY	0.18874626875898376	35
sub-05	meta_spatial	meta_L_PPA_PHG	kj	KJ	0.26621184807587417	35
sub-05	meta_spatial	meta_L_PPC_SPL	yy	YY	-0.03391732093120682	35
sub-05	meta_spatial	meta_L_PPC_SPL	kj	KJ	-0.041073966418946645	35
sub-05	meta_spatial	meta_L_RSC_PCC	yy	YY	0.14853431495011737	35
sub-05	meta_spatial	meta_L_RSC_PCC	kj	KJ	0.13489666072322448	35
sub-05	meta_spatial	meta_L_hippocampus	yy	YY	-0.014343768303016998	35
sub-05	meta_spatial	meta_L_hippocampus	kj	KJ	-0.02831326515904554	35
sub-05	meta_spatial	meta_L_precuneus	yy	YY	0.18722459096360547	35
sub-05	meta_spatial	meta_L_precuneus	kj	KJ	0.3331787023794769	35
sub-05	meta_spatial	meta_R_PPA_PHG	yy	YY	0.06583668699403167	35
sub-05	meta_spatial	meta_R_PPA_PHG	kj	KJ	0.07575357352943761	35
sub-05	meta_spatial	meta_R_PPC_SPL	yy	YY	-0.08859241920481102	35
sub-05	meta_spatial	meta_R_PPC_SPL	kj	KJ	-0.00582374292088383	35
sub-05	meta_spatial	meta_R_RSC_PCC	yy	YY	0.005263101186353308	35
sub-05	meta_spatial	meta_R_RSC_PCC	kj	KJ	0.05593931373265085	35
sub-05	meta_spatial	meta_R_hippocampus	yy	YY	-0.009521397926698016	35
sub-05	meta_spatial	meta_R_hippocampus	kj	KJ	-0.027668186774700232	35
sub-05	meta_spatial	meta_R_precuneus	yy	YY	0.07866077277641811	35
sub-05	meta_spatial	meta_R_precuneus	kj	KJ	0.005709345403017898	35
sub-06	meta_spatial	meta_L_PPA_PHG	yy	YY	0.17003584403257188	35
sub-06	meta_spatial	meta_L_PPA_PHG	kj	KJ	0.16465919014433636	35
sub-06	meta_spatial	meta_L_PPC_SPL	yy	YY	0.12297656652205417	35
sub-06	meta_spatial	meta_L_PPC_SPL	kj	KJ	0.1100634877718889	35
sub-06	meta_spatial	meta_L_RSC_PCC	yy	YY	-0.017075239957449726	35
sub-06	meta_spatial	meta_L_RSC_PCC	kj	KJ	0.10330205990179306	35
