roi_set	roi_name	domain	meta_source	term_or_query	map_type	hemisphere	x	y	z	radius_mm	theory_role	source_url	download_date	notes
tom_network	tom_L_TPJ	theory_of_mind	Schurz2014ALE	ToM tasks L TPJ	ALE_peak_sphere	L	-52	-56	24	6	mentalizing_lateralTPJ	https://doi.org/10.1016/j.neubiorev.2014.01.009	2026-05-06	Schurz 2014 Neurosci Biobehav Rev ToM ALE supplementary table; L TPJ peak.
tom_network	tom_R_TPJ	theory_of_mind	Schurz2014ALE	ToM tasks R TPJ	ALE_peak_sphere	R	54	-54	22	6	mentalizing_lateralTPJ	https://doi.org/10.1016/j.neubiorev.2014.01.009	2026-05-06	Schurz 2014 ToM ALE supplementary table; R TPJ peak (canonical ToM coordinate).
tom_network	tom_L_pSTS	theory_of_mind	Schurz2014ALE	ToM tasks L pSTS	ALE_peak_sphere	L	-54	-44	4	6	social_perception_pSTS	https://doi.org/10.1016/j.neubiorev.2014.01.009	2026-05-06	Schurz 2014 ToM ALE supplementary table; L pSTS peak.
tom_network	tom_R_pSTS	theory_of_mind	Schurz2014ALE	ToM tasks R pSTS	ALE_peak_sphere	R	56	-42	4	6	social_perception_pSTS	https://doi.org/10.1016/j.neubiorev.2014.01.009	2026-05-06	Schurz 2014 ToM ALE supplementary table; R pSTS peak.
tom_network	tom_DMPFC	theory_of_mind	Schurz2014ALE	ToM tasks DMPFC	ALE_peak_sphere	M	0	54	28	6	mentalizing_DMPFC	https://doi.org/10.1016/j.neubiorev.2014.01.009	2026-05-06	Schurz 2014 ToM ALE supplementary table; dorsomedial PFC peak.
tom_network	tom_MMPFC	theory_of_mind	Schurz2014ALE	ToM tasks MMPFC	ALE_peak_sphere	M	0	52	14	6	mentalizing_MMPFC	https://doi.org/10.1016/j.neubiorev.2014.01.009	2026-05-06	Schurz 2014 ToM ALE supplementary table; middle medial PFC peak.
tom_network	tom_VMPFC	theory_of_mind	Schurz2014ALE	ToM tasks VMPFC	ALE_peak_sphere	M	0	50	-8	6	valuation_VMPFC_ToM	https://doi.org/10.1016/j.neubiorev.2014.01.009	2026-05-06	Schurz 2014 ToM ALE supplementary table; ventromedial PFC peak.
tom_network	tom_PC	theory_of_mind	Schurz2014ALE	ToM tasks PC precuneus	ALE_peak_sphere	M	0	-54	36	6	self_reference_PC	https://doi.org/10.1016/j.neubiorev.2014.01.009	2026-05-06	Schurz 2014 ToM ALE supplementary table; posterior cingulate / precuneus peak.
