analysis_type	module	roi_set	roi	metric	phase_a	phase_b	n	mean_a	mean_b	mean_diff	t	p	cohens_dz	q_bh_within_roi_set
paired_t	learning_sentence_level	meta_spatial	meta_L_PPA_PHG	between_minus_within	run4	run3	28.0	0.007162565066199104	0.011874482055666236	-0.004711916989467132	-1.2197749484386409	0.23309830962941736	-0.2305157977882341	0.8070820008869685
paired_t	learning_sentence_level	meta_spatial	meta_L_PPC_SPL	between_minus_within	run4	run3	28.0	0.0014458698547422655	0.0019284878482673676	-0.0004826179935251021	-0.15409010231116732	0.8786846975627901	-0.029120292157989135	0.9763163306253223
paired_t	learning_sentence_level	meta_spatial	meta_L_RSC_PCC	between_minus_within	run4	run3	28.0	0.005804713156126107	0.009094969738335975	-0.003290256582209868	-0.7092502898696154	0.484249200532181	-0.1340357060211054	0.8070820008869685
paired_t	learning_sentence_level	meta_spatial	meta_L_hippocampus	between_minus_within	run4	run3	28.0	0.0006927298516857269	-0.0014273352689992652	0.0021200651206849924	1.232070471377812	0.22854510473224823	0.23283943321227243	0.8070820008869685
paired_t	learning_sentence_level	meta_spatial	meta_L_precuneus	between_minus_within	run4	run3	28.0	0.002289237220460233	0.0031771527209226514	-0.0008879155004624184	-0.26176849883987247	0.7954866101137229	-0.04946959635721446	0.9763163306253223
paired_t	learning_sentence_level	meta_spatial	meta_R_PPA_PHG	between_minus_within	run4	run3	28.0	0.005210431632311046	0.008193586718966767	-0.002983155086655721	-1.0228319774259846	0.31546481539013516	-0.193297074662399	0.8070820008869685
paired_t	learning_sentence_level	meta_spatial	meta_R_PPC_SPL	between_minus_within	run4	run3	28.0	0.00431066941735106	0.0033941668418974724	0.0009165025754535872	0.2624544542813691	0.7949632938877431	0.049599229750691	0.9763163306253223
paired_t	learning_sentence_level	meta_spatial	meta_R_RSC_PCC	between_minus_within	run4	run3	28.0	0.007101982459622341	0.012258223185836567	-0.005156240726214226	-0.9478212995572802	0.3516271428484312	-0.1791213889970441	0.8070820008869685
paired_t	learning_sentence_level	meta_spatial	meta_R_hippocampus	between_minus_within	run4	run3	28.0	-9.438041984496144e-05	-0.00013127225139689114	3.68918315519297e-05	0.015575017198544665	0.9876879587904766	0.0029434015837787922	0.9876879587904766
paired_t	learning_sentence_level	meta_spatial	meta_R_precuneus	between_minus_within	run4	run3	28.0	0.0052452274112661235	0.0024492008527749426	0.002796026558491181	0.7765476804409202	0.4441758264433525	0.1467537174021951	0.8070820008869685
