subject	roi_set	roi	condition	condition_label	run	target_phase	reinstatement	n_trials
sub-03	meta_metaphor	meta_L_AG	yy	YY	3	retrieval	0.04177945228230292	30
sub-03	meta_metaphor	meta_L_AG	yy	YY	4	retrieval	-0.0020900931616894287	30
sub-03	meta_metaphor	meta_L_AG	kj	KJ	3	retrieval	-0.011336716153009026	4
sub-03	meta_metaphor	meta_L_AG	kj	KJ	4	retrieval	-0.09667300434511594	4
sub-03	meta_metaphor	meta_L_IFG	yy	YY	3	retrieval	-0.03965525340938847	30
sub-03	meta_metaphor	meta_L_IFG	yy	YY	4	retrieval	-0.020269791737947532	30
sub-03	meta_metaphor	meta_L_IFG	kj	KJ	3	retrieval	-0.04272887159123632	4
sub-03	meta_metaphor	meta_L_IFG	kj	KJ	4	retrieval	0.09550871544071542	4
sub-03	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	3	retrieval	-0.010871450991160927	30
sub-03	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	4	retrieval	-0.03256897630375908	30
sub-03	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	3	retrieval	0.04464596890646437	4
sub-03	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	4	retrieval	0.07911170045796029	4
sub-03	meta_metaphor	meta_L_temporal_pole	yy	YY	3	retrieval	-0.013323801521818416	30
sub-03	meta_metaphor	meta_L_temporal_pole	yy	YY	4	retrieval	-0.006141268040910406	30
sub-03	meta_metaphor	meta_L_temporal_pole	kj	KJ	3	retrieval	-0.09022467042284464	4
sub-03	meta_metaphor	meta_L_temporal_pole	kj	KJ	4	retrieval	0.0032642226885641664	4
sub-03	meta_metaphor	meta_R_AG	yy	YY	3	retrieval	0.030539606717396934	30
sub-03	meta_metaphor	meta_R_AG	yy	YY	4	retrieval	0.030964988375483633	30
sub-03	meta_metaphor	meta_R_AG	kj	KJ	3	retrieval	0.03145427681981991	4
sub-03	meta_metaphor	meta_R_AG	kj	KJ	4	retrieval	-0.0025438151495090003	4
sub-03	meta_metaphor	meta_R_IFG	yy	YY	3	retrieval	0.015952225166469356	30
sub-03	meta_metaphor	meta_R_IFG	yy	YY	4	retrieval	-0.014262334226682187	30
sub-03	meta_metaphor	meta_R_IFG	kj	KJ	3	retrieval	-0.04841268091238567	4
sub-03	meta_metaphor	meta_R_IFG	kj	KJ	4	retrieval	-0.06932155783770612	4
sub-03	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	3	retrieval	0.03340097474925537	30
sub-03	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	4	retrieval	0.03407586227834657	30
sub-03	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	3	retrieval	0.12745908875383105	4
sub-03	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	4	retrieval	-0.1269321237172589	4
sub-03	meta_metaphor	meta_R_temporal_pole	yy	YY	3	retrieval	-0.006630001847027648	30
sub-03	meta_metaphor	meta_R_temporal_pole	yy	YY	4	retrieval	0.009425840041646823	30
sub-03	meta_metaphor	meta_R_temporal_pole	kj	KJ	3	retrieval	0.0036388273664598736	4
sub-03	meta_metaphor	meta_R_temporal_pole	kj	KJ	4	retrieval	0.13238925084371123	4
sub-04	meta_metaphor	meta_L_AG	yy	YY	3	retrieval	-0.016235946819373896	30
sub-04	meta_metaphor	meta_L_AG	yy	YY	4	retrieval	-0.026472278044778398	30
sub-04	meta_metaphor	meta_L_AG	kj	KJ	3	retrieval	-0.05688158578927874	4
sub-04	meta_metaphor	meta_L_AG	kj	KJ	4	retrieval	-0.17272970712567653	4
sub-04	meta_metaphor	meta_L_IFG	yy	YY	3	retrieval	-0.030471537603852454	30
sub-04	meta_metaphor	meta_L_IFG	yy	YY	4	retrieval	-0.013268844356641295	30
sub-04	meta_metaphor	meta_L_IFG	kj	KJ	3	retrieval	-0.009306518174232635	4
sub-04	meta_metaphor	meta_L_IFG	kj	KJ	4	retrieval	-0.021069130161905245	4
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	3	retrieval	-0.058689092572511085	30
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	4	retrieval	-0.0233537920326913	30
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	3	retrieval	0.09514480551350703	4
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	4	retrieval	-0.05275499520389997	4
sub-04	meta_metaphor	meta_L_temporal_pole	yy	YY	3	retrieval	0.015362365194296408	30
sub-04	meta_metaphor	meta_L_temporal_pole	yy	YY	4	retrieval	-0.016273931902057663	30
sub-04	meta_metaphor	meta_L_temporal_pole	kj	KJ	3	retrieval	0.11512076129554057	4
sub-04	meta_metaphor	meta_L_temporal_pole	kj	KJ	4	retrieval	-0.05741474858941185	4
sub-04	meta_metaphor	meta_R_AG	yy	YY	3	retrieval	0.05235667765861554	30
