roi_set	roi	variant	response	status	n_trials	n_subjects	ers_beta	ers_se	ers_p	condition_beta	condition_p	interaction_beta	interaction_p	family	q_bh_within_family
meta_metaphor	meta_R_pMTG_pSTS	run4_to_retrieval	log_rt_correct	ok	614	26	-0.06489800707831954	0.025519052697933257	0.010986756619780219	-0.06374545577827977	0.11349672277962337	0.06505715907920155	0.003779111620322114	gaussian	0.08789405295824175
meta_metaphor	meta_R_temporal_pole	run4_to_retrieval	log_rt_correct	ok	614	26	-0.06576341264338953	0.03150595367008699	0.036858055650962826	-0.07030207531950063	0.08756274111415442	0.05706626642721938	0.09683003920966603	gaussian	0.1474322226038513
meta_metaphor	meta_R_IFG	run4_to_retrieval	memory	ok	884	26	0.2863523464214113	0.14190556648889377	0.04360086680501973	0.6202637348744996	0.0003603933024065592	-0.17888755894138916	0.2983866145771714	binomial	0.34880693444015787
meta_metaphor	meta_L_pMTG_pSTS	run3_to_retrieval	log_rt_correct	ok	614	26	-0.051589083660987335	0.027500225235958554	0.06066196553644998	-0.05538471458790747	0.14097025901257507	0.0487694920263924	0.05586421962523587	gaussian	0.41267137002348475
meta_metaphor	meta_L_temporal_pole	run3_to_retrieval	log_rt_correct	ok	614	26	-0.046624085519133544	0.02935210410300279	0.112186653086304	-0.06411345135388166	0.10072187916480675	0.026832859232876316	0.4290762772857757	gaussian	0.41267137002348475
meta_metaphor	meta_R_temporal_pole	run3_to_retrieval	log_rt_correct	ok	614	26	0.041666525058049596	0.02928187042930472	0.15475176375880678	-0.07329405056362832	0.06614953411713494	-0.03541349867842933	0.2685628295043134	gaussian	0.41267137002348475
meta_metaphor	meta_L_IFG	run3_to_retrieval	log_rt_correct	ok	614	26	-0.040153794369617545	0.032654304217283034	0.21882327395506607	-0.06531144920311523	0.10248573384276308	0.03550001556035041	0.29115908149296843	gaussian	0.43764654791013213
meta_metaphor	meta_R_pMTG_pSTS	run3_to_retrieval	memory	ok	884	26	0.2122360381296871	0.14894258549203057	0.1541710707813767	0.545798850881581	0.0018708516059941563	-0.19372552470942414	0.2734173386221649	binomial	0.45759512964174665
meta_metaphor	meta_R_AG	run3_to_retrieval	memory	ok	884	26	0.25142180066844894	0.1775341996674197	0.15672047245863083	0.5501335014591788	0.0013771683707213226	-0.2147553100495484	0.29479626445686047	binomial	0.45759512964174665
meta_metaphor	meta_L_temporal_pole	run3_to_retrieval	memory	ok	884	26	-0.2949651095028922	0.21576183753028952	0.171598173615655	0.5770922396730751	0.0010167793199024968	0.3403673700769186	0.16209350554884194	binomial	0.45759512964174665
meta_metaphor	meta_L_AG	run4_to_retrieval	log_rt_correct	ok	614	26	-0.03419536994461747	0.02774926985240606	0.21783778390141184	-0.06067815508034833	0.13596298313267693	0.023416623845422552	0.47328557026017526	gaussian	0.48105301442338444
