subject	roi_set	roi	condition	condition_label	pair_id	word_label	variant	ers	memory	action_time	n_run3_trials	n_run4_trials	n_retrieval_trials
sub-01	meta_metaphor	meta_L_AG	yy	YY	22	yyw_24	run3_to_retrieval	0.22505406749079754	1.0	899.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	22	yyw_24	run4_to_retrieval	0.46616543247578135	1.0	899.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	22	yyw_24	max_run_to_retrieval	0.46616543247578135	1.0	899.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	23	yyw_26	run3_to_retrieval	0.33517367025618827	0.0	994.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	23	yyw_26	run4_to_retrieval	0.08680276685096089	0.0	994.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	23	yyw_26	max_run_to_retrieval	0.33517367025618827	0.0	994.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	24	yyw_27	run3_to_retrieval	0.5319870847398429	1.0	619.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	24	yyw_27	run4_to_retrieval	-0.10833446421959844	1.0	619.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	24	yyw_27	max_run_to_retrieval	0.5319870847398429	1.0	619.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	26	yyw_29	run3_to_retrieval	0.45409823830938745	1.0	675.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	26	yyw_29	run4_to_retrieval	0.7731819985045075	1.0	675.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	26	yyw_29	max_run_to_retrieval	0.7731819985045075	1.0	675.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	27	yyw_32	run3_to_retrieval	-0.43247785730800864	1.0	667.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	27	yyw_32	run4_to_retrieval	-0.7054708624808931	1.0	667.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	27	yyw_32	max_run_to_retrieval	-0.43247785730800864	1.0	667.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	28	yyw_33	run3_to_retrieval	0.6140892865281542	1.0	729.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	28	yyw_33	run4_to_retrieval	0.2877697617719597	1.0	729.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	28	yyw_33	max_run_to_retrieval	0.6140892865281542	1.0	729.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	29	yyw_7	run3_to_retrieval	-0.13105746172586144	1.0	605.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	29	yyw_7	run4_to_retrieval	0.20325282266587166	1.0	605.0	1	1	2
