subject	roi_set	roi	condition	ok	fail_reason	n_pairs_with_all_three	n_shared_pairs
sub-06	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-06	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-06	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-06	meta_metaphor	meta_R_AG	yy	True		30	30
sub-06	meta_metaphor	meta_R_AG	kj	True		4	4
sub-06	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-06	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-06	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-06	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-07	meta_metaphor	meta_L_AG	yy	True		30	30
sub-07	meta_metaphor	meta_L_AG	kj	True		4	4
sub-07	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-07	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-07	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-07	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-07	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-07	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-07	meta_metaphor	meta_R_AG	yy	True		30	30
sub-07	meta_metaphor	meta_R_AG	kj	True		4	4
sub-07	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-07	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-07	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-07	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-07	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-07	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-08	meta_metaphor	meta_L_AG	yy	True		30	30
sub-08	meta_metaphor	meta_L_AG	kj	True		4	4
sub-08	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-08	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-08	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-08	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-08	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-08	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-08	meta_metaphor	meta_R_AG	yy	True		30	30
sub-08	meta_metaphor	meta_R_AG	kj	True		4	4
sub-08	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-08	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-08	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-08	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-08	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-08	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-09	meta_metaphor	meta_L_AG	yy	True		30	30
sub-09	meta_metaphor	meta_L_AG	kj	True		4	4
sub-09	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-09	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-09	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-09	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-09	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-09	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-09	meta_metaphor	meta_R_AG	yy	True		30	30
sub-09	meta_metaphor	meta_R_AG	kj	True		4	4
sub-09	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-09	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-09	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-09	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-09	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-09	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-10	meta_metaphor	meta_L_AG	yy	True		30	30
sub-10	meta_metaphor	meta_L_AG	kj	True		4	4
sub-10	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-10	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-10	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-10	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-10	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-10	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-10	meta_metaphor	meta_R_AG	yy	True		30	30
sub-10	meta_metaphor	meta_R_AG	kj	True		4	4
sub-10	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-10	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-10	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-10	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-10	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-10	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-11	meta_metaphor	meta_L_AG	yy	True		30	30
sub-11	meta_metaphor	meta_L_AG	kj	True		4	4
sub-11	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-11	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-11	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-11	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-11	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-11	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-11	meta_metaphor	meta_R_AG	yy	True		30	30
sub-11	meta_metaphor	meta_R_AG	kj	True		4	4
sub-11	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-11	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-11	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-11	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-11	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-11	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-13	meta_metaphor	meta_L_AG	yy	True		30	30
sub-13	meta_metaphor	meta_L_AG	kj	True		4	4
sub-13	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-13	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-13	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-13	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-13	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-13	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-13	meta_metaphor	meta_R_AG	yy	True		30	30
sub-13	meta_metaphor	meta_R_AG	kj	True		4	4
sub-13	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-13	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-13	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-13	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-13	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-13	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-14	meta_metaphor	meta_L_AG	yy	True		30	30
sub-14	meta_metaphor	meta_L_AG	kj	True		4	4
sub-14	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-14	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-14	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-14	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-14	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-14	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-14	meta_metaphor	meta_R_AG	yy	True		30	30
sub-14	meta_metaphor	meta_R_AG	kj	True		4	4
sub-14	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-14	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-14	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-14	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-14	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-14	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-15	meta_metaphor	meta_L_AG	yy	True		30	30
sub-15	meta_metaphor	meta_L_AG	kj	True		4	4
sub-15	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-15	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-15	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-15	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-15	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-15	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-15	meta_metaphor	meta_R_AG	yy	True		30	30
sub-15	meta_metaphor	meta_R_AG	kj	True		4	4
sub-15	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-15	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-15	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-15	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-15	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-15	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-16	meta_metaphor	meta_L_AG	yy	True		30	30
sub-16	meta_metaphor	meta_L_AG	kj	True		4	4
sub-16	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-16	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-16	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-16	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-16	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-16	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-16	meta_metaphor	meta_R_AG	yy	True		30	30
sub-16	meta_metaphor	meta_R_AG	kj	True		4	4
sub-16	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-16	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-16	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-16	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-16	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-16	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-17	meta_metaphor	meta_L_AG	yy	True		30	30
sub-17	meta_metaphor	meta_L_AG	kj	True		4	4
sub-17	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-17	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-17	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-17	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-17	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-17	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-17	meta_metaphor	meta_R_AG	yy	True		30	30
sub-17	meta_metaphor	meta_R_AG	kj	True		4	4
sub-17	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-17	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-17	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-17	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-17	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-17	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-18	meta_metaphor	meta_L_AG	yy	True		30	30
sub-18	meta_metaphor	meta_L_AG	kj	True		4	4
sub-18	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-18	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-18	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-18	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-18	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-18	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-18	meta_metaphor	meta_R_AG	yy	True		30	30
sub-18	meta_metaphor	meta_R_AG	kj	True		4	4
sub-18	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-18	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-18	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-18	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-18	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-18	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-19	meta_metaphor	meta_L_AG	yy	True		30	30
sub-19	meta_metaphor	meta_L_AG	kj	True		4	4
sub-19	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-19	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-19	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-19	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-19	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-19	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-19	meta_metaphor	meta_R_AG	yy	True		30	30
sub-19	meta_metaphor	meta_R_AG	kj	True		4	4
sub-19	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-19	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-19	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-19	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-19	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-19	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-20	meta_metaphor	meta_L_AG	yy	True		30	30
sub-20	meta_metaphor	meta_L_AG	kj	True		4	4
sub-20	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-20	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-20	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-20	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-20	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-20	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-20	meta_metaphor	meta_R_AG	yy	True		30	30
sub-20	meta_metaphor	meta_R_AG	kj	True		4	4
sub-20	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-20	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-20	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-20	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-20	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-20	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-21	meta_metaphor	meta_L_AG	yy	True		30	30
sub-21	meta_metaphor	meta_L_AG	kj	True		4	4
sub-21	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-21	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-21	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-21	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-21	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-21	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-21	meta_metaphor	meta_R_AG	yy	True		30	30
sub-21	meta_metaphor	meta_R_AG	kj	True		4	4
sub-21	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-21	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-21	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-21	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-21	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-21	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-22	meta_metaphor	meta_L_AG	yy	True		30	30
sub-22	meta_metaphor	meta_L_AG	kj	True		4	4
sub-22	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-22	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-22	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-22	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-22	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-22	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-22	meta_metaphor	meta_R_AG	yy	True		30	30
sub-22	meta_metaphor	meta_R_AG	kj	True		4	4
sub-22	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-22	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-22	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-22	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-22	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-22	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-24	meta_metaphor	meta_L_AG	yy	True		30	30
sub-24	meta_metaphor	meta_L_AG	kj	True		4	4
sub-24	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-24	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-24	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-24	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-24	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-24	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-24	meta_metaphor	meta_R_AG	yy	True		30	30
sub-24	meta_metaphor	meta_R_AG	kj	True		4	4
sub-24	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-24	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-24	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-24	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-24	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-24	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-25	meta_metaphor	meta_L_AG	yy	True		30	30
sub-25	meta_metaphor	meta_L_AG	kj	True		4	4
sub-25	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-25	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-25	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-25	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-25	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-25	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-25	meta_metaphor	meta_R_AG	yy	True		30	30
sub-25	meta_metaphor	meta_R_AG	kj	True		4	4
sub-25	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-25	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-25	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-25	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-25	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-25	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-26	meta_metaphor	meta_L_AG	yy	True		30	30
sub-26	meta_metaphor	meta_L_AG	kj	True		4	4
sub-26	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-26	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-26	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-26	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-26	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-26	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-26	meta_metaphor	meta_R_AG	yy	True		30	30
sub-26	meta_metaphor	meta_R_AG	kj	True		4	4
sub-26	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-26	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-26	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-26	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-26	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-26	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-27	meta_metaphor	meta_L_AG	yy	True		30	30
sub-27	meta_metaphor	meta_L_AG	kj	True		4	4
sub-27	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-27	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-27	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-27	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-27	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-27	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-27	meta_metaphor	meta_R_AG	yy	True		30	30
sub-27	meta_metaphor	meta_R_AG	kj	True		4	4
sub-27	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-27	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-27	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-27	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-27	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-27	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-28	meta_metaphor	meta_L_AG	yy	True		30	30
sub-28	meta_metaphor	meta_L_AG	kj	True		4	4
sub-28	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-28	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-28	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-28	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-28	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-28	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-28	meta_metaphor	meta_R_AG	yy	True		30	30
sub-28	meta_metaphor	meta_R_AG	kj	True		4	4
sub-28	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-28	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-28	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-28	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-28	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-28	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
